event_id,event_type,zone_id,timestamp,hour_of_day,minutes_since_event_start,is_peak_hour,crowd_density,capacity_utilization,flow_rate_in,flow_rate_out,net_flow,temperature_celsius,noise_level_db,adjacent_zone_pressure,exit_proximity_score,dwell_time_minutes,anomaly_label,anomaly_code,is_anomaly,density_rolling_mean_5,density_rolling_std_5,density_rolling_mean_10,density_rolling_std_10,density_delta,density_delta_abs,density_z_score,flow_imbalance_ratio,crowding_pressure,perceptual_overload
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:00:00,17.0,0.0,1,0.0701,0.0701,33.61,30.18,3.43,17.57,57.22,0.0658,1.0,18.59,NORMAL,0,0,0.0701,0.0,0.0701,0.0,0.0,0.0,0.0,0.05377018341432826,0.0,0.040111219999999996
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:00:30,17.0,0.5,1,0.0663,0.0663,13.68,34.3,-20.62,18.12,54.53,0.0859,1.0,15.47,NORMAL,0,0,0.0682,0.002687005768508879,0.0682,0.002687005768508879,-0.003799999999999998,0.003799999999999998,-0.7071067811865476,-0.4297624010004168,0.0,0.03615339
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:01:00,17.017,1.0,1,0.0507,0.0507,21.63,14.37,7.26,17.16,58.96,0.0836,1.0,28.25,NORMAL,0,0,0.06236666666666666,0.010280726303784831,0.06236666666666666,0.010280726303784831,-0.015599999999999996,0.015599999999999996,-1.1348095768653617,0.20166666666666666,0.0,0.02989272
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:01:30,17.017,1.5,1,0.0811,0.0811,38.79,43.84,-5.05,17.74,57.26,0.1055,1.0,14.8,NORMAL,0,0,0.06705,0.012577625637085352,0.06705,0.012577625637085352,0.030400000000000003,0.030400000000000003,1.1170629819489406,-0.0611158174996975,0.0,0.046437860000000004
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:02:00,17.033,2.0,1,0.0951,0.0951,26.61,35.32,-8.72,18.11,57.75,0.2074,1.0,21.54,NORMAL,0,0,0.07266,0.016613488495797624,0.07266,0.016613488495797624,0.013999999999999999,0.013999999999999999,1.3507096962613356,-0.14064266106894882,0.0,0.05492025
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:02:30,17.033,2.5,1,0.1404,0.1404,28.16,74.67,-46.51,18.25,58.97,0.1818,0.8903,15.04,NORMAL,0,0,0.08671999999999999,0.034270132768928686,0.08395000000000001,0.03139412365395792,0.04529999999999999,0.04529999999999999,1.7981072070117563,-0.4522999124769037,0.0028000617840000003,0.08279387999999999
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:03:00,17.05,3.0,1,0.1497,0.1497,24.83,47.88,-23.05,17.55,59.23,0.1767,0.8352,25.01,NORMAL,0,0,0.10339999999999998,0.04140096617230085,0.09334285714285714,0.03793291697821551,0.009300000000000003,0.009300000000000003,1.485705486069215,-0.3170127905377527,0.004359287951999999,0.08866731
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:03:30,17.05,3.5,1,0.1162,0.1162,28.26,18.64,9.62,17.82,58.09,0.1716,1.0,49.89,NORMAL,0,0,0.1165,0.0290889154146386,0.0962,0.03603684622319614,-0.0335,0.0335,0.554987522385531,0.20511727078891256,0.0,0.06750058
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:04:00,17.067,4.0,1,0.1158,0.1158,45.98,19.79,26.18,18.41,62.38,0.1682,1.0,46.79,NORMAL,0,0,0.12344000000000002,0.021743803715081667,0.09837777777777777,0.03433667054978459,-0.0003999999999999976,0.0003999999999999976,0.5073940467513244,0.3982058689372054,0.0,0.07223604
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:04:30,17.067,4.5,1,0.0919,0.0919,42.83,37.28,5.55,17.76,58.82,0.1486,1.0,19.72,NORMAL,0,0,0.12279999999999999,0.02280756453460122,0.09773,0.032437668432446456,-0.023900000000000005,0.023900000000000005,-0.17972931723318383,0.06927974035700908,0.0,0.05405558
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:05:00,17.083,5.0,1,0.0964,0.0964,61.05,31.3,29.75,17.03,60.37,0.1502,1.0,24.65,NORMAL,0,0,0.11399999999999999,0.022807564534601223,0.10036,0.03098208084253434,0.004500000000000004,0.004500000000000004,-0.12781581779889503,0.3221440173253925,0.0,0.05819668
